Student_ID,Gender,Age,Attendance,Study_Hours,Previous_Score,Assignment_Score,Midterm_Score,Final_Score
1058,Male,18,82,4,74,78,75,84
1059,Male,20,82,2.5,62,66,64,67
1060,Male,20,99,7,93,96,98,97
1061,Male,20,66,1.8,47,56,52,56
1062,Male,18,80,4.9,79,84,82,81
1063,Male,18,90,5.6,80,85,83,87
1064,Male,18,83,5,82,85,89,95
1065,Male,19,75,3.9,64,75,68,71
1066,Female,19,85,3.2,72,75,74,77
1067,Female,19,88,3.5,80,84,80,87
1068,Male,19,76,4.6,72,78,76,79
1069,Female,21,80,5.7,86,92,91,93
1070,Female,19,99,6.9,98,99,98,99
1071,Female,19,71,3,58,67,62,63
1072,Female,20,70,1.5,60,66,62,70
1073,Male,19,69,3.2,68,71,71,75
1074,Female,20,99,7,98,99,96,99
1075,Male,21,66,2.2,55,61,58,61
1076,Female,21,99,6.2,89,98,94,99
1077,Female,18,97,6.8,98,99,98,99
1078,Female,21,70,2.5,63,70,66,71
1079,Male,19,84,4.9,85,90,86,90
1080,Female,18,99,6.7,93,99,97,98
1081,Male,19,77,3.5,60,65,63,68
1082,Female,21,81,5.5,73,76,74,79
1083,Male,19,84,2.2,62,69,68,67
1084,Female,19,62,3.3,62,68,67,68
1085,Male,20,82,3.1,64,71,66,72
1086,Male,18,68,2.9,50,55,54,56
1087,Female,18,76,4.3,73,77,77,80
1088,Male,18,66,2.6,71,73,75,78
1089,Female,18,81,4.4,77,84,77,80
1090,Female,18,69,1.5,52,58,57,56
1091,Female,18,83,4.8,81,84,83,89
1092,Female,20,96,5.3,84,88,86,90
1093,Female,18,60,1.8,47,51,55,56
1094,Female,19,84,5.1,72,74,76,81
1095,Female,21,86,5.8,89,92,91,97
1096,Female,19,70,2.5,60,63,59,71
1097,Female,20,99,5.6,90,94,96,97
1098,Female,18,82,4.1,83,87,83,91
1099,Female,18,60,3.8,62,64,63,68
1100,Male,18,80,4.8,68,77,70,80
1101,Male,18,88,4.6,83,91,89,94
1102,Female,18,83,4.1,72,75,77,79
1103,Female,18,92,4.2,82,88,85,90
1104,Female,18,65,3.5,59,65,63,69
1105,Female,18,85,4.6,74,81,76,81
1106,Female,19,72,3.3,56,59,59,62
1107,Female,18,70,3.3,72,79,75,81
1108,Female,19,73,2.6,52,56,57,59
1109,Female,19,70,3.2,58,60,63,65
1110,Male,20,92,6,92,98,96,97
1111,Female,18,93,5.3,86,94,88,90
1112,Male,20,84,4.3,78,88,82,85
1113,Female,20,66,3.1,52,55,55,61
1114,Female,18,77,4,64,70,65,71
1115,Male,21,87,5,80,84,82,90
1116,Female,21,76,5,73,80,76,79
1117,Male,18,99,7,98,99,98,99
1118,Female,18,78,4.6,73,75,76,80
1119,Female,20,85,4.3,74,77,75,81
1120,Male,20,79,3.9,69,74,72,78
1121,Female,18,73,3.7,82,86,85,87
1122,Male,18,75,3.8,64,70,67,74
1123,Female,19,93,3.6,86,93,91,97
1124,Male,19,85,5.8,88,94,93,95
1125,Male,20,70,2,59,67,61,68
1126,Female,19,69,3.2,56,62,58,61
1127,Female,19,66,1.5,46,50,48,55
1128,Male,20,84,4.5,79,87,83,88
1129,Female,18,66,2.2,64,68,70,73
1130,Female,18,66,1.5,46,53,48,53
1131,Female,20,93,5.4,79,87,82,80
1132,Male,21,99,5.7,98,99,98,99
1133,Male,19,80,4.8,66,68,70,72
1134,Male,19,84,5.3,82,85,86,87
1135,Male,18,77,3.4,78,86,79,85
1136,Male,19,82,3.2,65,70,69,71
1137,Male,19,91,6.2,80,85,81,85
1138,Male,18,84,3.1,69,76,70,74
1139,Male,18,86,3.7,72,78,74,78
1140,Male,19,76,5.1,73,79,75,82
1141,Female,18,79,3.3,62,67,65,68
1142,Male,19,85,4.7,79,83,79,85
1143,Female,18,76,3.9,66,73,71,72
1144,Female,19,74,2.4,65,71,70,73
1145,Female,18,95,5.4,74,78,73,82
1146,Male,21,87,3.5,54,61,59,55
1147,Male,19,83,4.4,70,75,71,79
1148,Male,20,79,4.2,75,78,80,85
1149,Male,20,94,6.5,85,88,88,90
1150,Female,19,89,4.6,76,79,79,81
1151,Male,18,78,3.3,72,76,75,78
1152,Male,19,97,5.3,76,83,81,81
1153,Male,19,95,7,92,95,93,99
1154,Male,20,88,4.1,81,86,85,84
1155,Male,19,83,3.8,70,74,75,75
1156,Female,18,69,2.5,59,63,63,69
1157,Male,18,74,2.6,54,56,62,59
1158,Female,19,74,3,73,78,75,82
1159,Male,20,71,3.9,65,70,70,73
1160,Female,19,73,5.1,68,74,71,71
1161,Male,19,83,4.2,73,78,78,81
1162,Male,21,89,4.1,78,81,81,85
1163,Female,20,82,3,76,83,78,82
1164,Female,18,93,4.8,74,79,80,81
1165,Female,18,81,4.7,70,75,72,78
1166,Male,18,64,1.7,50,55,50,58
1167,Female,18,65,2.8,57,61,59,66
1168,Male,18,77,3.5,74,79,78,82
1169,Male,18,71,1.8,63,69,69,67
1170,Female,18,90,5.3,78,80,81,84
1171,Female,18,94,6.5,95,99,98,99
1172,Male,21,92,4.7,83,87,83,91
1173,Male,18,70,4.7,72,78,74,84
1174,Female,19,93,6.3,92,99,94,99
1175,Female,19,86,5,76,79,79,83
1176,Female,21,80,2.8,65,69,68,73
1177,Male,18,76,2.4,57,61,61,64
1178,Male,19,77,3.5,70,73,72,74
1179,Male,21,76,3.8,59,63,62,66
1180,Male,21,78,5.3,73,80,76,82
1181,Male,20,85,4.6,78,81,79,84
1182,Male,18,82,3.9,73,79,76,81
1183,Female,18,87,4,85,87,88,94
1184,Male,20,89,6.3,92,96,95,97
1185,Male,21,79,4.7,82,86,85,88
1186,Male,19,71,3,53,61,56,58
1187,Female,19,60,1.5,45,50,48,52
1188,Male,18,85,6.2,78,79,84,82
1189,Male,20,70,2.6,50,51,51,55
1190,Female,18,76,3.6,67,72,69,77
1191,Male,19,74,2.2,49,55,58,54
1192,Male,19,65,1.5,49,55,50,56
1193,Male,19,89,5,78,83,78,84
1194,Male,18,81,5,75,82,79,84
1195,Male,18,80,2.9,66,70,65,76
1196,Female,20,60,1.5,45,52,48,54
1197,Female,18,73,3.3,66,68,73,74
1198,Female,19,85,3.2,76,79,76,83
1199,Male,18,60,2.4,55,56,54,60
1200,Male,19,84,3.7,77,81,77,88
1201,Male,19,75,3.3,73,78,78,78
1202,Female,18,79,3.7,76,81,81,84
1203,Male,19,74,3.1,75,80,77,84
1204,Male,18,76,1.9,64,67,68,70
1205,Female,18,89,5.1,85,90,91,94
1206,Male,21,86,5,78,80,85,87
1207,Female,19,77,3.6,70,78,73,80
1208,Female,20,62,2.9,60,64,58,66
1209,Female,18,70,3.7,64,68,65,68
1210,Male,20,77,2.9,61,69,63,67
1211,Male,20,77,3.7,63,66,65,70
1212,Male,19,94,5.5,92,95,95,99
1213,Male,19,67,3.1,50,53,55,56
1214,Male,19,66,3,52,57,58,55
1215,Male,19,99,4.9,95,99,98,99
1216,Male,21,85,3.1,72,78,77,83
1217,Female,20,72,3,54,64,58,62
1218,Male,21,84,4.8,94,95,97,99
1219,Female,18,72,3.5,65,71,70,73
1220,Male,20,99,5.9,93,97,96,99
1221,Male,21,82,6.2,81,85,88,90
1222,Male,18,70,4.1,66,70,66,74
1223,Female,18,99,6.9,97,99,98,99
1224,Female,20,74,3.8,65,73,68,70
1225,Female,19,88,5.6,79,86,83,86
1226,Female,20,79,4.1,74,79,80,82
1227,Male,18,92,5.2,86,94,89,92
1228,Female,20,91,6.1,87,89,87,95
1229,Male,18,85,4.6,73,75,78,81
1230,Male,18,78,3.1,65,66,70,74
1231,Female,18,75,3.7,80,84,79,90
1232,Female,20,69,2.6,66,71,69,73
1233,Female,20,93,6.6,98,99,98,99
1234,Female,19,78,4.1,72,77,74,78
1235,Female,19,76,4.7,71,73,72,78
1236,Female,21,75,3.4,69,76,74,72
1237,Female,19,62,2.6,51,56,54,61
1238,Female,20,65,3.6,56,62,56,63
1239,Male,19,93,6.9,92,93,97,99
1240,Female,19,74,2.9,67,73,67,77
1241,Female,19,66,2.9,60,63,64,66
1242,Male,19,86,5,83,87,84,91
1243,Female,20,89,5.7,84,90,86,91
1244,Male,19,86,4.9,83,88,87,90
1245,Male,18,98,5.6,84,87,88,89
1246,Female,21,79,1.5,66,71,72,76
1247,Male,19,60,2.6,53,55,56,59
1248,Male,19,99,6,90,97,94,98
1249,Male,21,81,3.4,70,75,72,73
1250,Male,20,72,4.9,72,79,75,81
1251,Female,18,97,5.3,87,91,91,96
1252,Male,21,93,4.5,79,83,82,86
1253,Female,20,79,5.8,74,77,73,81
1254,Male,19,97,6.3,90,97,94,98
1255,Male,18,79,2.8,64,68,68,76
1256,Male,20,91,5.1,86,92,88,89
1257,Male,20,83,4.6,74,78,74,83
1258,Female,19,84,4.5,68,69,74,73
1259,Female,21,97,5.2,90,94,94,97
1260,Male,20,78,4.3,70,73,73,77
1261,Male,18,91,4.3,84,89,85,90
1262,Female,19,97,5.3,82,85,83,89
1263,Male,18,75,3.8,72,79,78,77
1264,Male,20,71,3.2,65,70,68,74
1265,Male,18,62,1.6,55,60,57,58
1266,Female,19,63,2.1,45,51,49,53
1267,Female,20,99,6.8,98,99,98,99
1268,Female,21,69,3.4,54,59,60,59
1269,Male,19,83,4,70,73,76,77
1270,Male,20,76,4.3,66,67,68,70
1271,Female,18,86,4.7,69,73,71,76
1272,Female,20,83,5.9,74,78,72,78
1273,Female,18,88,5.4,84,89,84,92
1274,Female,19,73,3.2,62,66,62,67
1275,Male,20,79,5.1,68,74,71,74
1276,Female,18,81,4.9,78,82,80,86
1277,Male,18,77,4,73,78,73,78
1278,Female,20,99,5.3,92,99,94,99
1279,Male,20,83,3.9,77,83,81,81
1280,Female,20,79,5.1,84,89,88,92
1281,Female,20,95,4.9,75,79,74,86
1282,Female,19,99,5.2,88,92,91,99
1283,Female,18,75,4.3,77,80,77,84
1284,Male,19,70,3.3,58,62,63,67
1285,Female,18,81,4.9,69,76,74,72
1286,Male,21,75,2.5,60,65,61,70
1287,Male,19,76,3.2,62,64,63,71
1288,Male,19,85,4.3,80,89,82,86
1289,Male,19,88,5.4,90,96,88,99
1290,Female,21,77,3.8,78,80,82,84
1291,Male,18,79,4.1,74,78,76,80
1292,Male,19,93,5.5,92,97,97,99
1293,Male,19,82,4.2,80,88,81,85
1294,Female,20,99,7,98,99,98,99
1295,Female,18,89,3,84,91,84,89
1296,Female,21,70,2.9,50,58,51,55
1297,Female,21,85,5.6,77,81,78,82
1298,Male,19,85,4.3,72,76,77,81
1299,Male,20,95,5.7,83,86,85,89
1300,Female,21,89,4.2,83,88,86,87
1301,Male,20,79,4.8,75,80,77,81
1302,Male,18,71,3.5,63,69,63,70
1303,Male,19,80,3.8,73,80,76,78
1304,Female,20,65,3.5,66,70,70,71
1305,Female,19,79,3.4,62,63,63,73
1306,Male,20,90,4,75,80,80,80
1307,Female,21,93,5.9,97,99,98,99
1308,Female,21,84,4.6,79,84,81,85
1309,Female,19,71,2.2,57,61,61,63
1310,Female,18,83,4.4,79,84,81,87
1311,Female,21,97,5.5,89,97,92,98
1312,Male,20,86,3.2,69,75,71,75
1313,Female,18,75,3.9,75,79,78,80
1314,Male,21,73,3.4,74,78,72,84
1315,Male,21,74,2.5,65,70,64,72
1316,Female,19,90,4.1,82,90,86,92
1317,Male,19,78,4.4,69,74,74,72
1318,Male,19,91,3.3,80,85,81,87
1319,Male,18,64,3.5,55,59,58,66
1320,Female,19,79,4.3,71,78,75,77
1321,Female,20,84,4.8,77,86,81,84
1322,Male,18,85,2,68,74,67,76
1323,Female,19,99,6,91,96,92,97
1324,Female,19,72,3.4,69,74,71,75
1325,Female,19,79,3.7,75,75,79,81
1326,Female,21,94,4.9,78,84,86,84
1327,Male,19,64,3.1,55,60,58,64
1328,Male,19,62,2.1,47,53,48,55
1329,Female,20,65,1.5,56,60,60,64
1330,Female,19,83,4.7,88,92,94,97
1331,Male,18,74,3.1,66,70,69,72
1332,Male,19,99,7,98,99,98,99
1333,Female,18,72,3.6,62,66,67,68
1334,Male,18,89,3.9,73,82,77,80
1335,Female,19,89,6.3,95,99,96,99
1336,Female,19,99,7,98,99,98,99
1337,Male,21,99,7,96,99,98,99
1338,Male,19,91,5.5,92,96,97,99
1339,Female,19,94,5.2,77,78,80,78
1340,Female,20,88,4.6,75,83,77,82
1341,Male,18,91,5.7,78,84,83,88
1342,Female,20,79,2.9,59,65,60,66
1343,Male,18,70,3,55,60,59,64
1344,Female,21,77,4,74,76,74,81
1345,Male,18,73,3.5,69,73,74,75
1346,Male,19,71,2.6,68,75,70,71
1347,Male,18,99,5.1,84,87,90,91
1348,Female,21,96,5.2,85,85,89,90
1349,Female,19,74,4.4,76,81,77,81
1350,Male,19,88,5.6,91,96,97,97
1351,Female,18,71,3.2,52,57,58,62
1352,Male,20,81,3.2,74,80,79,86
1353,Male,18,76,4.1,60,66,61,67
1354,Female,21,60,1.5,45,51,48,52
1355,Female,18,79,4.2,70,77,73,75
1356,Male,18,80,4.1,67,69,69,75
1357,Female,18,96,5.5,90,96,96,99
1358,Female,19,75,5.1,82,88,85,89
1359,Male,19,69,3.4,60,63,58,62
1360,Male,18,94,5.1,93,95,97,99
1361,Female,20,93,5.9,86,90,88,95
1362,Male,19,99,3.3,84,88,87,88
1363,Male,19,80,3.1,71,78,73,78
1364,Female,19,69,3.7,68,72,73,76
1365,Male,19,81,3.2,72,75,77,79
1366,Male,19,93,4.7,91,95,95,96
1367,Female,18,99,6.3,91,98,93,99
1368,Female,18,98,7,95,99,98,99
1369,Male,21,85,2.3,65,70,68,69
1370,Male,21,63,1.9,55,60,56,58
1371,Female,19,84,5.1,75,83,79,85
1372,Female,18,60,2.8,53,57,57,61
1373,Female,20,86,4.4,78,86,84,85
1374,Female,19,74,3.1,67,72,73,73
1375,Male,18,73,4.7,69,74,71,75
1376,Female,18,63,2.9,49,59,54,54
1377,Female,20,90,5.1,80,83,81,86
1378,Male,20,79,2.8,64,68,68,67
1379,Female,18,62,2.4,56,59,58,62
1380,Male,18,60,1.5,45,52,48,52
1381,Female,18,76,4.2,67,75,71,75
1382,Female,20,91,7,98,99,96,99
1383,Female,18,96,6.7,86,93,85,95
1384,Male,18,74,2.8,64,69,67,74
1385,Male,20,86,4,66,70,69,75
1386,Female,18,87,4.8,80,82,82,88
1387,Male,20,63,3.1,59,68,59,66
1388,Male,18,80,5.3,76,82,77,81
1389,Male,18,93,4.3,84,88,88,92
1390,Male,18,99,5.6,87,95,91,97
1391,Male,20,71,3.6,76,79,79,84
1392,Male,21,69,2.8,73,79,78,84
1393,Female,20,81,3.1,64,69,68,68
1394,Female,19,74,4.4,57,63,59,62
1395,Male,20,73,2.6,69,74,71,78
1396,Female,18,86,4.5,76,78,76,84
1397,Female,18,76,5.6,80,85,83,90
1398,Female,21,72,3,63,70,68,70
1399,Female,18,97,5.9,89,94,93,94
1400,Male,18,82,2.9,71,78,77,78
1401,Female,18,75,4.1,67,70,69,71
1402,Female,18,73,2.6,69,74,75,74
1403,Male,18,60,1.5,45,50,48,54
1404,Male,19,90,5.9,84,90,90,93
1405,Female,19,83,5.5,85,90,88,93
1406,Female,21,75,3.7,66,72,70,70
1407,Female,20,76,4.2,76,83,82,82
1408,Female,19,88,5.3,74,80,77,79
1409,Female,18,69,2.1,57,63,60,66
1410,Female,19,74,3.9,65,68,71,71
1411,Male,19,88,4.9,80,85,83,85
1412,Female,18,60,3.2,54,58,54,61
1413,Female,20,81,4.6,79,83,86,85
1414,Male,19,66,2.4,52,56,54,62
1415,Male,19,98,3.8,75,78,78,81
1416,Male,19,74,4.1,71,72,76,75
1417,Male,18,71,1.5,46,50,48,52
1418,Female,21,97,5.1,94,99,95,99
1419,Female,20,74,2.6,60,62,64,66
1420,Female,18,81,2.3,65,70,64,69
1421,Female,21,84,5.5,75,84,77,84
1422,Female,19,93,6.3,83,90,86,91
1423,Female,21,70,3.8,59,67,61,66
1424,Male,20,87,3.3,76,82,76,86
1425,Female,19,90,4.6,77,84,83,85
1426,Male,18,84,4.1,86,90,89,91
1427,Male,18,75,3.8,78,82,84,83
1428,Female,19,75,3,71,71,73,80
1429,Male,20,68,3.7,59,66,60,67
1430,Female,18,81,3.9,69,77,73,76
1431,Male,18,75,3.2,56,60,59,61
1432,Female,20,60,1.5,45,50,48,53
1433,Male,21,84,5.9,80,83,86,85
1434,Female,19,89,4.3,75,81,77,82
1435,Female,18,61,1.7,45,52,48,55
1436,Female,18,60,3.4,60,62,66,66
1437,Female,18,83,4.2,79,85,81,83
1438,Female,21,99,7,98,99,98,99
1439,Male,18,86,4.2,74,79,73,83
1440,Male,19,70,2.9,68,74,74,76
1441,Male,18,69,3.3,69,74,69,76
1442,Female,19,97,5.4,94,99,97,99
1443,Male,20,70,4.4,70,75,75,78
1444,Female,20,66,3,67,74,71,72
1445,Female,18,72,3.8,61,67,64,69
1446,Male,18,70,2.3,59,64,59,65
1447,Male,18,78,3.7,72,74,73,77
1448,Female,21,85,6.8,95,99,98,99
1449,Male,21,88,3.6,79,86,80,85
1450,Female,19,84,3.4,65,70,68,72
1451,Female,20,80,3.6,68,74,72,75
1452,Female,20,60,2,45,54,50,52
1453,Female,18,88,5,89,96,90,94
1454,Female,21,79,4.1,69,74,76,75
1455,Male,19,81,4.2,70,74,75,80
1456,Male,19,99,7,98,98,98,99
1457,Female,19,79,3.8,80,85,85,87
1458,Female,18,73,2.9,51,55,59,61
1459,Male,18,78,4.2,66,72,66,70
1460,Male,20,99,6,87,92,90,95
1461,Female,18,85,3.3,72,76,70,77
1462,Male,20,70,2.3,60,61,63,66
1463,Female,18,90,4,80,83,84,85
1464,Male,19,80,3.2,66,72,69,72
1465,Female,18,99,7,98,99,98,99
1466,Male,19,86,4.8,91,96,90,99
1467,Female,20,83,2.9,64,70,68,73
1468,Male,18,96,6.1,86,93,92,94
1469,Male,19,78,3.2,77,80,79,81
1470,Female,19,86,4.7,85,91,89,93
1471,Male,20,86,5,72,76,72,81
1472,Female,21,74,2.5,59,66,63,64
1473,Male,20,75,3,65,70,67,74
1474,Female,18,92,5.8,89,95,90,97
1475,Male,18,85,3.8,65,68,66,76
1476,Female,18,81,3.6,55,61,57,61
1477,Male,19,71,2.6,62,71,66,67
1478,Female,18,89,4.8,73,76,73,79
1479,Male,19,95,6.6,91,95,93,99
1480,Female,19,71,2.9,47,52,50,52
1481,Female,19,89,3.7,76,83,77,79
1482,Female,20,93,5.7,91,95,98,98
1483,Male,18,75,3.3,70,69,71,76
1484,Female,18,81,4.6,83,91,85,90
1485,Male,20,64,2.1,61,68,62,70
1486,Female,19,80,3.9,84,86,91,90
1487,Male,20,76,3.9,64,68,68,67
1488,Female,19,83,5.4,85,93,86,96
1489,Male,18,92,6,81,89,86,86
1490,Male,20,99,7,98,99,98,99
1491,Female,20,81,5,79,84,83,88
1492,Male,20,91,4.8,79,84,81,85
1493,Male,18,84,4.5,75,80,77,82
1494,Female,19,82,3,70,77,74,78
1495,Male,19,80,4.5,79,82,81,88
1496,Male,18,81,3.8,77,80,84,83
1497,Male,21,76,4.2,73,80,73,83
1498,Female,18,98,4.5,85,90,91,88
1499,Male,21,71,2.8,60,68,63,69
1500,Female,19,94,6.8,84,88,88,89
1501,Male,18,87,5.5,95,99,98,99
1502,Male,19,74,3.4,69,72,71,76
1503,Male,21,62,1.5,45,50,50,52
1504,Female,20,69,3.4,62,64,60,70
1505,Male,20,95,6.4,92,96,94,99
1506,Male,20,73,3.2,71,73,72,79
1507,Female,20,74,3.1,56,62,56,61
1508,Male,20,69,3.7,72,78,75,78
1509,Female,18,91,5,80,82,84,87
1510,Female,19,89,4.9,79,87,83,86
1511,Male,18,74,4.3,72,82,75,80
1512,Female,21,79,4,61,66,63,64
1513,Male,21,77,2.8,69,73,73,77
1514,Female,18,68,3.3,56,67,59,62
1515,Female,20,91,6.1,96,98,98,99
1516,Male,21,67,3.6,64,69,69,70
1517,Female,18,94,5.6,91,96,94,98
1518,Female,19,87,5.9,96,99,97,96
1519,Female,21,90,6,88,94,90,94
1520,Female,18,74,3.4,67,71,69,72
1521,Female,20,87,3.9,76,79,78,84
1522,Male,18,78,3.7,69,73,73,74
1523,Female,21,69,2.9,66,69,70,73
1524,Male,21,87,5.2,73,78,76,83
1525,Female,21,70,2.8,53,57,56,62
1526,Male,19,93,5,90,92,93,99
1527,Male,21,78,4.9,63,71,65,69
1528,Female,20,74,4.4,71,75,72,79
1529,Female,19,87,5.1,70,72,69,77
1530,Female,20,80,3.6,67,72,69,74
1531,Male,18,81,5.1,79,84,83,87
1532,Female,19,74,3.9,67,69,69,73
1533,Male,18,89,5.9,87,93,90,97
1534,Male,18,66,2.9,57,60,61,64
1535,Male,18,83,4.7,73,81,77,81
1536,Female,20,99,6.3,96,99,97,99
1537,Female,19,75,2.4,61,65,66,70
1538,Male,20,67,3.3,68,72,73,72
1539,Male,18,88,5.2,79,84,80,87
1540,Female,19,88,4.1,72,78,73,81
1541,Male,19,85,5.1,73,78,78,82
1542,Female,20,90,5.5,73,78,76,78
1543,Male,19,96,4.3,83,88,82,89
1544,Female,20,96,4.9,89,93,89,98
1545,Male,21,85,4.4,80,84,83,85
1546,Female,20,83,3.9,68,69,69,74
1547,Male,18,87,4.6,86,93,88,96
1548,Female,18,99,7,95,99,98,99
1549,Female,21,77,4.1,74,77,80,80
1550,Male,18,78,2.8,59,68,61,64
1551,Male,21,87,4.6,84,89,89,92
1552,Female,19,86,3.1,73,76,79,77
1553,Male,21,61,1.5,45,52,51,52
1554,Female,20,81,3.8,84,90,88,92
1555,Male,21,76,3.9,65,71,64,75
1556,Female,19,69,3.8,71,75,75,79
1557,Female,20,86,6.4,86,92,91,92
1558,Female,19,86,5.6,79,83,82,88
1559,Female,19,84,4.8,84,90,90,90
1560,Female,20,76,3.4,67,68,72,72
1561,Female,21,95,5.3,83,87,87,90
1562,Male,21,75,4.7,71,79,76,81
1563,Male,20,82,4,82,85,86,89
1564,Male,19,94,3.7,79,83,77,86
1565,Female,19,80,2.4,60,64,62,70
1566,Female,20,91,5.8,73,76,78,77
1567,Female,18,80,3.6,66,67,67,70
1568,Female,18,95,5.7,81,86,84,85
1569,Male,19,80,3.8,83,88,84,91
1570,Male,18,96,5,96,99,98,99
1571,Female,18,84,4.2,64,69,70,74
1572,Male,18,85,3,67,72,68,74
1573,Male,18,83,2.8,68,75,71,74
1574,Female,18,73,3.7,70,75,72,77
1575,Male,21,98,5.5,84,88,88,91
1576,Female,19,61,1.8,55,59,59,59
1577,Male,19,68,2.4,55,61,60,67
1578,Female,20,71,2.5,58,66,62,66
1579,Female,18,97,5,79,83,88,86
1580,Female,21,99,5.4,97,99,98,99
1581,Female,20,81,3.4,73,79,73,81
1582,Male,18,81,4.1,72,75,74,79
1583,Female,19,81,4.3,73,78,73,79
1584,Female,21,94,5.6,89,91,89,97
1585,Female,21,60,2.2,66,67,67,74
1586,Male,19,81,4.2,74,80,75,79
1587,Female,20,91,4,85,89,86,95
1588,Male,18,79,4.8,74,79,78,82
1589,Female,21,84,5.1,71,76,73,79
1590,Male,18,89,4.4,85,88,88,95
1591,Male,21,62,1.5,45,50,50,52
1592,Female,20,95,5.1,80,83,81,88
1593,Male,20,71,3.9,63,71,65,72
1594,Female,19,61,1.5,47,50,51,53
1595,Female,18,85,4.2,77,82,76,84
1596,Female,18,91,4.6,91,94,89,98
1597,Male,18,80,3.9,64,70,68,69
1598,Male,18,86,6.5,90,94,94,99
1599,Female,20,90,6.3,90,94,97,94
1600,Female,19,96,5.7,92,99,95,96
1601,Male,18,99,6.3,88,93,93,98
1602,Female,21,83,5,84,90,87,92
1603,Female,21,85,3.6,76,79,80,81
1604,Female,21,61,2.4,53,55,59,61
1605,Male,21,79,3.8,65,70,64,75
1606,Male,18,76,2.9,62,66,66,69
1607,Male,19,99,6.2,95,99,98,99
1608,Female,20,81,4.6,69,74,73,73
1609,Female,20,79,4.6,78,83,84,86
1610,Female,18,85,4.4,82,84,84,91
1611,Male,20,79,4.7,73,82,76,82
1612,Female,18,93,5.9,90,95,93,97
1613,Female,18,73,2.7,66,72,65,72
1614,Female,19,74,3.8,75,78,76,83
1615,Female,19,70,2,53,59,54,62
1616,Male,19,65,2.6,58,60,63,66
1617,Male,18,73,2.1,64,70,69,73
1618,Female,21,78,3.2,76,80,80,81
1619,Male,18,75,2.2,62,67,67,69
1620,Male,18,75,3,50,56,53,55
1621,Female,21,70,2.1,55,58,60,61
1622,Female,21,76,3.7,72,76,75,81
1623,Male,21,60,1.5,46,52,49,53
1624,Female,20,82,4.3,78,87,80,90
1625,Male,20,78,4.4,84,89,88,91
1626,Female,19,64,1.8,52,58,54,59
1627,Male,18,73,3.8,71,76,76,78
1628,Female,19,66,2.5,60,69,61,66
1629,Male,19,81,4.5,68,70,69,75
1630,Male,18,94,6.5,89,94,93,98
1631,Male,20,64,1.9,47,50,50,54
1632,Female,19,78,3.9,72,72,74,77
1633,Male,18,76,3.9,69,75,74,74
1634,Male,18,82,4.7,82,87,84,88
1635,Female,20,82,4.3,74,78,77,81
1636,Female,18,68,2.8,57,62,63,66
1637,Male,21,80,3.5,70,81,76,74
1638,Male,19,63,3.1,54,58,60,60
